base_rate,REV_max,alpha_at_max,REV@0.05,REV@0.1,REV@0.2,REV@0.5,model,horizon
0.07136279926335175,0.8116013882002974,0.06999999999999999,0.7887952404561228,0.7620071684587812,0.6790322580645161,0.21290322580645146,ThermoRoute,1
0.06712328767123288,0.8886694462731329,0.06999999999999999,0.8712677435144395,0.8548752834467119,0.7431972789115646,0.4353741496598641,LightGBM,1
0.06712328767123288,0.8062321702874699,0.06999999999999999,0.7420460107684776,0.7981859410430838,0.7670068027210885,0.598639455782313,DampedPersistence,1
0.06712328767123288,0.8025016458196182,0.06999999999999999,0.73568281938326,0.7959183673469387,0.7704081632653061,0.6326530612244898,Persistence,1
0.07136279926335175,0.7911325164671719,0.06999999999999999,0.7615270203272186,0.7146953405017921,0.40483870967741925,-0.01935483870967737,ThermoRoute,3
0.0673076923076923,0.808051055473736,0.05,0.808051055473736,0.6643990929705216,0.45578231292517,0.12925170068027206,LightGBM,3
0.0673076923076923,0.5557018506327261,0.06999999999999999,0.4000981836033383,0.5449735449735449,0.5034013605442177,0.2789115646258502,DampedPersistence,3
0.0673076923076923,0.6415770609318996,0.06999999999999999,0.5189003436426117,0.6296296296296297,0.5833333333333334,0.3333333333333334,Persistence,3
0.07136279926335175,0.6894964232594376,0.06999999999999999,0.5453644025780863,0.6458781362007168,0.2806451612903225,-0.03870967741935474,ThermoRoute,7
0.06767955801104972,0.7185185185185184,0.02,0.705679012345679,0.5873015873015872,0.27040816326530603,-0.12244897959183684,LightGBM,7
0.06767955801104972,0.2487016311901104,0.06999999999999999,-0.02370370370370367,0.23431594860166277,0.1785714285714284,-0.12244897959183684,DampedPersistence,7
0.06767955801104972,0.4075049374588544,0.06999999999999999,0.20000000000000007,0.3877551020408162,0.3112244897959182,-0.10204081632653077,Persistence,7
